Model,Horizon,MAE,MSE,RMSE,R2
ARIMA,1-Day,3.0207,15.3112,3.913,0.9586
ARIMA,3-Day,4.3651,37.1434,6.0945,0.8895
ARIMA,10-Day,8.1538,119.5548,10.9341,0.6647
ARIMA,15-Day,9.6339,162.9412,12.7648,0.5544
SARIMA,1-Day,2.9388,14.7062,3.8349,0.9602
SARIMA,3-Day,4.3449,37.5315,6.1263,0.8883
SARIMA,10-Day,8.1734,123.1178,11.0958,0.6547
SARIMA,15-Day,9.7239,168.8619,12.9947,0.5382
Prophet,1-Day,11.0088,207.2772,14.3971,0.4397
Prophet,3-Day,10.6133,180.96,13.4521,0.4614
Prophet,10-Day,12.0982,237.5692,15.4133,0.3337
Prophet,15-Day,12.9884,271.8107,16.4867,0.2567
XGBoost,1-Day,3.4963,35.6799,5.9733,0.8784
XGBoost,3-Day,6.6993,99.0205,9.9509,0.7236
XGBoost,10-Day,12.4145,268.7529,16.3937,0.3367
XGBoost,15-Day,14.5562,325.3521,18.0375,0.2223
